submission_date,issue_description,resolution_date,priority_level,ticket_status
9/2/2024,Picking robot skipping assigned aisle in optimization routemap index might be corrupted.,9/5/2024,High,On Hold
12/19/2024,Suction cup gripper losing pressure after 12 cyclescheck vacuum seal integrity.,12/26/2024,Medium,Closed - Resolved
4/4/2025,Temperature-controlled arm not holding cold-pack products steadilyactuator lag suspected.,4/10/2025,High,Cancelled
4/4/2025,Customer reports robotic forklift overshooting dock alignmentcamera offset suspected.,4/13/2025,Urgent,Closed - Resolved
7/5/2024,Autonomous floor units reporting repeated LIDAR misreads in low-light conditions.,7/8/2024,Low,Open
11/8/2024,Label printer on packing bot jamming intermittentlyhardware service request opened.,11/14/2024,Urgent,Closed - Resolved
11/13/2024,Temperature sensor in robotic soldering unit reading above safe operating range.,11/22/2024,Low,In Progress
7/25/2024,Customer unable to submit service ticket via mobile portalUI issue on latest Android version.,7/27/2024,Medium,Closed - Resolved
1/29/2025,LED status indicator stuck in red despite system running normallyvisual false positive?,1/30/2025,Medium,Closed
2/12/2025,Customer states predictive maintenance alert was missedpossible alert suppression rule.,2/16/2025,High,Cancelled
12/28/2024,AI co-pilot interface displaying outdated warehouse inventory despite live API integration.,1/5/2025,High,On Hold
12/29/2024,System audit flagging unauthorized access attempt on robotics control API.,1/8/2025,High,Open
8/24/2024,Idle time tracking for warehouse units not logging correctlytelemetry data gap.,8/25/2024,Low,Closed - Resolved
3/28/2025,Diagnostic tool unable to communicate with legacy hardwareadapter may be required.,4/1/2025,High,Closed - Resolved
3/2/2025,Automated welding arm intermittently halts during high-heat cyclessuspected sensor calibration drift.,3/11/2025,Medium,Closed
8/7/2024,Heat map of robotic traffic not loading for West Coast territoryvisualization component broken.,8/11/2024,Urgent,In Progress
6/20/2024,Battery drain accelerating on self-navigating picker botsclient requests hardware review.,6/23/2024,Medium,Cancelled
10/6/2024,Unexpected stop condition triggered during pallet rewrap routineinvestigating fault codes.,10/10/2024,High,On Hold
8/1/2024,Repeated '404 device not found' error on support dashboardbelieved to be ID mismatch.,8/9/2024,Low,In Progress
1/16/2025,Return unit not accepting scanned QR codesoptical reader needs recalibration.,1/24/2025,High,On Hold
3/11/2025,Navigation system freezing mid-shiftpacket loss observed in Wi-Fi logs.,3/13/2025,Medium,Closed
5/23/2024,Unable to reset robotic arm to home positionreset protocol fails at step 3.,5/28/2024,Urgent,Closed - Resolved
3/15/2025,Customer service chatbot incorrectly routing requests about robotic arms to finance.,3/21/2025,Medium,Cancelled
8/1/2024,Customer account flagged as inactive during quarterly synccontract still in force until Q4.,8/10/2024,Urgent,Closed - Resolved
3/28/2025,Customer reports excessive heat on robotics control panelcooling fan test requested.,4/4/2025,High,Open
6/24/2024,Pick path optimization feature stuck in recalculating looplikely route matrix bug.,6/27/2024,Medium,Closed - Resolved
11/3/2024,Inconsistent barcode scanning during inbound sortationrequesting diagnostic logs.,11/7/2024,High,Open
6/10/2024,Issue syncing sales data from ERP into robotics supply chain dashboard.,6/17/2024,Low,Closed
1/15/2025,Billing dashboard showing duplicate line items for SLA renewalneeds manual reconciliation.,1/24/2025,Medium,In Progress
2/27/2025,Motion sensor fault in entry-level AGVsuspected electromagnetic interference.,3/7/2025,Low,On Hold
11/16/2024,System audit flagging unauthorized access attempt on robotics control API.,11/24/2024,Medium,Closed - Resolved
3/17/2025,Client unable to archive closed support ticketspermission role misconfiguration.,3/22/2025,Urgent,Cancelled
8/25/2024,Suction cup gripper losing pressure after 12 cyclescheck vacuum seal integrity.,8/31/2024,High,Cancelled
2/17/2025,License expiration alerts not appearing for client adminmonitoring system inactive.,2/21/2025,Medium,On Hold
4/11/2025,HR database not syncing with shift handoff bot schedulermissing employee record.,4/21/2025,High,Open
6/12/2024,Discrepancy between scanned and delivered SKUspotential robotic misclassification event.,6/17/2024,Urgent,Closed - Resolved
1/16/2025,Remote shutdown of customer system initiated without proper command logpossible logging misfire.,1/23/2025,Low,In Progress
12/30/2024,Inventory report mislabeling robotics model numbersSKU logic misfire.,1/6/2025,Medium,Closed - Resolved
2/6/2025,Task scheduler running duplicate jobs on dual-robot configurationdeadlock conditions observed.,2/14/2025,Medium,Closed
4/9/2025,Autonomous floor units reporting repeated LIDAR misreads in low-light conditions.,4/16/2025,High,On Hold
10/13/2024,Unexpected stop condition triggered during pallet rewrap routineinvestigating fault codes.,10/17/2024,High,Open
11/21/2024,Idle time tracking for warehouse units not logging correctlytelemetry data gap.,11/27/2024,High,Closed - Resolved
8/24/2024,Return unit not accepting scanned QR codesoptical reader needs recalibration.,8/30/2024,Low,In Progress
8/1/2024,Heat map of robotic traffic not loading for West Coast territoryvisualization component broken.,8/8/2024,Medium,Closed - Resolved
3/21/2025,Battery drain accelerating on self-navigating picker botsclient requests hardware review.,3/29/2025,Urgent,Closed
6/27/2024,Battery health metrics not populating in regional dashboardtelemetry stream missing.,7/5/2024,High,Cancelled
1/26/2025,Delivery tracking API pushing duplicate status updatescausing client-side UI clutter.,2/4/2025,Medium,Closed - Resolved
1/30/2025,Scheduled maintenance scripts not executing on east region serverslikely time zone mismatch.,1/31/2025,Low,On Hold
4/21/2025,Repeated '404 device not found' error on support dashboardbelieved to be ID mismatch.,4/27/2025,Medium,Closed
5/2/2024,Unexpected motor vibration on high-speed units deployed in humid environments.,5/10/2024,Urgent,Closed - Resolved
5/5/2024,Routine maintenance tag not updating in system despite completionworkflow integration error.,5/8/2024,High,Cancelled
1/8/2025,Support agent unable to replicate power cycling bug reported on new Roboweld Plus series.,1/9/2025,Medium,Open
9/15/2024,Temperature-controlled arm not holding cold-pack products steadilyactuator lag suspected.,9/18/2024,High,In Progress
5/8/2024,New actuator exhibiting slow response in colder environmentsmaterial tolerance concern.,5/8/2024,Medium,Cancelled
7/14/2024,Downtime incorrectly logged as resolved in dashboardresolution timestamp error.,7/19/2024,High,Open
6/21/2024,Navigation system freezing mid-shiftpacket loss observed in Wi-Fi logs.,6/24/2024,Medium,In Progress
3/28/2025,Service report PDF not attaching to customer CRM recordautomation flow broken.,3/31/2025,High,Closed - Resolved
12/26/2024,Customer unable to submit service ticket via mobile portalUI issue on latest Android version.,12/31/2024,Urgent,On Hold
6/19/2024,Issue syncing sales data from ERP into robotics supply chain dashboard.,6/24/2024,Low,Closed
10/13/2024,Feedback loop delay causing robotic palletizer to miss timing sync with conveyor belt.,10/22/2024,High,Closed - Resolved
2/16/2025,Wireless module upgrade caused latency spikepossible firmware mismatch.,2/16/2025,Low,Closed - Resolved
3/25/2025,Mobile control app crashing after recent OS updatecompatibility fix required.,3/27/2025,High,Open
4/4/2025,Firmware rollback initiated unintentionallyclient device now stuck in bootloader loop.,4/13/2025,Urgent,Closed
6/8/2024,Support team reports double charge on robotic part restockSLA breach inquiry pending.,6/10/2024,Medium,In Progress
7/10/2024,Product loader mistiming drop-off with downstream conveyorsync pulse missing.,7/16/2024,Medium,Cancelled
12/12/2024,Automated welding arm intermittently halts during high-heat cyclessuspected sensor calibration drift.,12/20/2024,High,On Hold
8/16/2024,Picking robot skipping assigned aisle in optimization routemap index might be corrupted.,8/19/2024,Low,Closed - Resolved
5/4/2024,Night shift override not deactivating during scheduled switchlogic conflict in script.,5/10/2024,High,Closed - Resolved
6/16/2024,Voice command module failing to recognize commands with headset mic input.,6/25/2024,Urgent,Cancelled
12/15/2024,Customer service chatbot incorrectly routing requests about robotic arms to finance.,12/22/2024,Medium,Open
7/27/2024,Inconsistent barcode scanning during inbound sortationrequesting diagnostic logs.,8/2/2024,Medium,In Progress
8/11/2024,Overhead robotic crane misaligned after system updaterequesting recalibration walkthrough.,8/17/2024,Medium,Closed - Resolved
5/13/2024,Robot arm #4 failed precision test during QAtolerance exceeds threshold by 0.04 mm.,5/19/2024,Medium,On Hold
9/8/2024,Customer states predictive maintenance alert was missedpossible alert suppression rule.,9/16/2024,High,Closed
8/2/2024,AI co-pilot interface displaying outdated warehouse inventory despite live API integration.,8/10/2024,Low,Cancelled
9/20/2024,Technician override mode triggering false alarmsUI miscommunication suspected.,9/27/2024,High,Open
11/19/2024,Pick path optimization feature stuck in recalculating looplikely route matrix bug.,11/27/2024,Urgent,In Progress
12/19/2024,High-pitched tone coming from servo in model XR100engineering to review noise profile.,12/22/2024,High,Closed - Resolved
5/7/2024,Data not syncing across international locationstimezone setting discrepancies confirmed.,5/8/2024,High,On Hold
11/25/2024,3D vision system under-picking SKUs from top shelvesimage recognition needs retraining.,11/26/2024,Urgent,Closed
5/7/2024,Custom firmware deployment not stickingdevice reverts to factory version after reboot.,5/14/2024,Low,Closed - Resolved
12/30/2024,Customer account flagged as inactive during quarterly synccontract still in force until Q4.,1/6/2025,Medium,In Progress
6/25/2024,Armature alignment reset required after shippingrequesting field calibration.,7/5/2024,Medium,On Hold
5/14/2024,Error 412 triggered during over-the-air update to robotic welding units in Southeast territory.,5/21/2024,High,Closed
3/18/2025,Assembly line pauses when robotic gripper fails to complete handofflog shows force threshold error.,3/23/2025,Medium,Closed - Resolved
1/24/2025,Unable to reset robotic arm to home positionreset protocol fails at step 3.,1/27/2025,Urgent,Cancelled
1/14/2025,Temperature sensor in robotic soldering unit reading above safe operating range.,1/15/2025,High,Closed - Resolved
4/11/2025,Load cell in robotic lifter reading zero under active payloadsuspected cable break.,4/20/2025,Medium,Open
3/18/2025,Billing dashboard showing duplicate line items for SLA renewalneeds manual reconciliation.,3/28/2025,Low,On Hold
12/18/2024,User permissions incorrectly assignedadmin access granted to technician role.,12/21/2024,Urgent,Open
11/22/2024,Diagnostic tool unable to communicate with legacy hardwareadapter may be required.,11/23/2024,Low,Closed - Resolved
10/24/2024,Order #98234 missing firmware version 5.3 for XYZ Series actuatorrequires urgent patch.,10/27/2024,Medium,Closed - Resolved
4/29/2024,Label printer on packing bot jamming intermittentlyhardware service request opened.,4/30/2024,High,Closed
1/5/2025,Customer unable to access remote diagnostics via mobile portalauthentication token not refreshing.,1/14/2025,Medium,In Progress
6/7/2024,Latest patch rolled out to wrong robot model familyrollback request submitted.,6/10/2024,High,Cancelled
4/6/2025,Customer reports excessive heat on robotics control panelcooling fan test requested.,4/8/2025,High,Cancelled
6/16/2024,API returning null values for order tracking endpointbackend request timing out.,6/25/2024,Medium,On Hold
10/10/2024,Excessive noise reported from robotic jointscustomer suspects lubrication schedule not syncing.,10/17/2024,High,Open
5/22/2024,Error 7002: No response from servo motor controller on axis Ypossible hardware failure.,5/23/2024,Urgent,Closed - Resolved
11/6/2024,Customer reports robotic forklift overshooting dock alignmentcamera offset suspected.,11/6/2024,Low,Closed - Resolved
5/9/2024,LED status indicator stuck in red despite system running normallyvisual false positive?,5/19/2024,Medium,Closed
9/4/2024,Inventory report mislabeling robotics model numbersSKU logic misfire.,9/4/2024,High,In Progress
9/26/2024,Night shift override not deactivating during scheduled switchlogic conflict in script.,9/26/2024,Medium,Closed
9/30/2024,User permissions incorrectly assignedadmin access granted to technician role.,10/9/2024,Urgent,In Progress
2/26/2025,Picking robot skipping assigned aisle in optimization routemap index might be corrupted.,2/28/2025,High,Cancelled
4/14/2025,Idle time tracking for warehouse units not logging correctlytelemetry data gap.,4/16/2025,Medium,On Hold
10/27/2024,Downtime incorrectly logged as resolved in dashboardresolution timestamp error.,11/2/2024,Low,Open
10/27/2024,Battery health metrics not populating in regional dashboardtelemetry stream missing.,11/1/2024,High,Closed - Resolved
2/25/2025,Latest patch rolled out to wrong robot model familyrollback request submitted.,3/2/2025,Urgent,Closed - Resolved
12/16/2024,Billing dashboard showing duplicate line items for SLA renewalneeds manual reconciliation.,12/17/2024,Low,On Hold
11/5/2024,System audit flagging unauthorized access attempt on robotics control API.,11/11/2024,Medium,Closed - Resolved
5/18/2024,Customer account flagged as inactive during quarterly synccontract still in force until Q4.,5/19/2024,Medium,Cancelled
11/30/2024,Suction cup gripper losing pressure after 12 cyclescheck vacuum seal integrity.,12/6/2024,High,Closed - Resolved
6/8/2024,Motion sensor fault in entry-level AGVsuspected electromagnetic interference.,6/12/2024,Medium,Open
10/31/2024,High-pitched tone coming from servo in model XR100engineering to review noise profile.,11/4/2024,Medium,Closed
1/10/2025,Wireless module upgrade caused latency spikepossible firmware mismatch.,1/15/2025,High,In Progress
8/8/2024,Unable to reset robotic arm to home positionreset protocol fails at step 3.,8/9/2024,Low,Closed - Resolved
9/16/2024,Technician override mode triggering false alarmsUI miscommunication suspected.,9/21/2024,High,In Progress
10/24/2024,Customer service chatbot incorrectly routing requests about robotic arms to finance.,10/31/2024,Urgent,Closed - Resolved
8/10/2024,HR database not syncing with shift handoff bot schedulermissing employee record.,8/16/2024,Urgent,On Hold
3/7/2025,Support team reports double charge on robotic part restockSLA breach inquiry pending.,3/15/2025,Low,Closed
3/14/2025,Unexpected motor vibration on high-speed units deployed in humid environments.,3/21/2025,Medium,Cancelled
8/8/2024,Delivery tracking API pushing duplicate status updatescausing client-side UI clutter.,8/15/2024,Medium,Open
1/15/2025,Service report PDF not attaching to customer CRM recordautomation flow broken.,1/21/2025,High,Closed - Resolved
5/21/2024,Autonomous floor units reporting repeated LIDAR misreads in low-light conditions.,5/23/2024,High,Open
8/2/2024,License expiration alerts not appearing for client adminmonitoring system inactive.,8/11/2024,Low,In Progress
3/8/2025,Automated welding arm intermittently halts during high-heat cyclessuspected sensor calibration drift.,3/17/2025,Medium,On Hold
4/22/2025,Pick path optimization feature stuck in recalculating looplikely route matrix bug.,4/28/2025,Urgent,Closed
6/18/2024,Temperature-controlled arm not holding cold-pack products steadilyactuator lag suspected.,6/26/2024,High,Closed - Resolved
4/4/2025,Excessive noise reported from robotic jointscustomer suspects lubrication schedule not syncing.,4/13/2025,Medium,Cancelled
11/26/2024,Inconsistent barcode scanning during inbound sortationrequesting diagnostic logs.,11/28/2024,High,On Hold
6/1/2024,Custom firmware deployment not stickingdevice reverts to factory version after reboot.,6/9/2024,Medium,Closed
6/27/2024,Client unable to archive closed support ticketspermission role misconfiguration.,7/5/2024,High,Closed - Resolved
8/28/2024,Armature alignment reset required after shippingrequesting field calibration.,9/2/2024,High,Cancelled
1/20/2025,New actuator exhibiting slow response in colder environmentsmaterial tolerance concern.,1/21/2025,Urgent,Closed - Resolved
3/1/2025,Support agent unable to replicate power cycling bug reported on new Roboweld Plus series.,3/8/2025,Low,Open
3/28/2025,LED status indicator stuck in red despite system running normallyvisual false positive?,3/31/2025,Medium,In Progress
